epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,332.408,1.4357,2.78657,1.81126,0.00408,0.88889,0.40569,0.14913,1.76931,3.65554,2.6448,0.00035007,0.00035007,0.00035007
2,675.151,1.41937,2.33502,1.76863,0.41982,0.40741,0.32895,0.12656,1.90836,3.07483,2.58681,0.000702617,0.000702617,0.000702617
3,1016.87,1.50639,2.28251,1.80493,0.16479,0.62963,0.2349,0.07642,2.28262,4.98284,3.32943,0.00104064,0.00104064,0.00104064
4,1276.52,1.54812,2.17197,1.80771,0.10633,0.48049,0.10076,0.0395,2.41096,7.52035,4.06997,0.00136414,0.00136414,0.00136414
5,1528.45,1.50297,2.13719,1.7671,0.06138,0.18519,0.03695,0.00927,3.17773,7.20859,4.75926,0.00153497,0.00153497,0.00153497
6,1773.26,1.49588,2.0397,1.80173,0.51915,0.11111,0.01084,0.00347,3.42095,13.846,4.67938,0.00150197,0.00150197,0.00150197
7,2040.46,1.5278,1.94192,1.76583,0.2639,0.46296,0.23944,0.09249,1.91225,8.64918,3.07025,0.00146896,0.00146896,0.00146896
8,2305.82,1.48168,1.89194,1.72885,0.18597,0.38889,0.15725,0.03611,3.03191,10.8193,5.81129,0.00143595,0.00143595,0.00143595
9,2553.64,1.47683,1.94703,1.76387,0.71242,0.36866,0.43661,0.21792,1.87742,2.85148,2.80477,0.00140295,0.00140295,0.00140295
10,2786.6,1.44964,1.82015,1.72576,0.42035,0.68519,0.48806,0.19,1.74616,2.40607,2.48969,0.00136994,0.00136994,0.00136994
11,3006.65,1.40916,1.80353,1.69085,0.69058,0.55372,0.687,0.29264,1.73425,2.22709,2.38196,0.00133693,0.00133693,0.00133693
12,3212.18,1.4103,1.73637,1.70983,0.46104,0.64815,0.55917,0.28863,1.70759,2.22512,2.46041,0.00130393,0.00130393,0.00130393
13,3414.46,1.43467,1.69762,1.69015,0.52875,0.46296,0.41035,0.1712,1.92962,2.21187,2.70259,0.00127092,0.00127092,0.00127092
